propertyid,node_id,grocery_2k,lightrail_2k,transit_cen_2k,food_drink_2k,cafe_2k,college_2k,entertainment_2k,parks_2k,tract_fips,bg_fips
8021379,47251805,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,53011040415,530110404151
9096130,47307668,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,53011041320,530110413204
7769079,47330355,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,53011041320,530110413202
6058580,3686142098,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,53011040909,530110409092
5998841,47211778,0.0,0.0,0.0,16.0,4.0,0.0,1.0,0.0,53011040605,530110406053
8014629,47251752,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,53011040605,530110406053
6520531,40629129,3.0,61.0,0.0,53.0,43.0,4.0,8.0,48.0,41051005700,410510057002
9447679,47280522,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,53011042600,530110426003
4513175,4591418213,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,53011041320,530110413204
8766850,40682997,6.0,51.0,1.0,98.0,32.0,4.0,6.0,39.0,41051002100,410510021001
9975611,2134119576,0.0,0.0,0.0,3.0,0.0,0.0,1.0,18.0,41051007202,410510072021
7762031,40531974,0.0,1.0,0.0,9.0,2.0,0.0,0.0,21.0,41051010408,410510104084
4519233,2127007215,2.0,30.0,1.0,46.0,12.0,1.0,1.0,28.0,41051002303,410510023032
10158680,1572493700,3.0,19.0,1.0,33.0,13.0,1.0,0.0,24.0,41051002203,410510022034
4335528,47269531,0.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,53011041322,530110413221
7359699,47240717,0.0,6.0,0.0,20.0,12.0,0.0,1.0,0.0,53011042400,530110424001
9259186,1376376126,8.0,71.0,0.0,75.0,52.0,4.0,8.0,45.0,41051010600,410510106001
9471245,40622239,4.0,34.0,1.0,84.0,24.0,0.0,2.0,35.0,41051002100,410510021001
7770619,4006880384,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,53011041201,530110412014
6224496,40493400,1.0,0.0,0.0,2.0,1.0,0.0,0.0,24.0,41051009803,410510098032
4498714,40493400,1.0,0.0,0.0,2.0,1.0,0.0,0.0,24.0,41051009803,410510098032
5721859,757362023,8.0,61.0,1.0,84.0,44.0,4.0,7.0,40.0,41051005100,410510051001
9170641,40778844,7.0,41.0,0.0,66.0,31.0,4.0,6.0,32.0,41051005100,410510051001
9261248,40648065,5.0,20.0,0.0,60.0,15.0,0.0,2.0,42.0,41051001101,410510011012
8944173,3397920526,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,53011040407,530110404073
9637701,1548328432,7.0,59.0,0.0,63.0,50.0,5.0,8.0,47.0,41051005600,410510056001
9629517,40518401,7.0,44.0,0.0,69.0,31.0,4.0,6.0,31.0,41051005100,410510051001
9368965,40518401,7.0,44.0,0.0,69.0,31.0,4.0,6.0,34.0,41051005000,410510050001
841009,40642489,0.0,3.0,1.0,11.0,2.0,0.0,0.0,25.0,41051010001,410510100013
9597617,40607721,4.0,29.0,1.0,84.0,20.0,0.0,1.0,30.0,41051002100,410510021002
7968772,40638306,8.0,66.0,0.0,78.0,52.0,4.0,8.0,44.0,41051005200,410510052001
9897995,3660842511,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,53011040413,530110404132
4202360,40586042,5.0,20.0,1.0,66.0,12.0,1.0,1.0,25.0,41051002402,410510024022
4325999,1375156027,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,53011040809,530110408092
9766991,3393423172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53011040412,530110404121
1554336,40734423,0.0,3.0,1.0,5.0,1.0,0.0,0.0,27.0,41051010001,410510100013
7555735,3633201886,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,53011040413,530110404132
9724466,47253965,0.0,6.0,0.0,20.0,12.0,0.0,1.0,0.0,53011042500,530110425002
5881986,40559489,4.0,24.0,1.0,85.0,17.0,0.0,1.0,26.0,41051002100,410510021001
8941471,40462287,0.0,2.0,1.0,16.0,3.0,0.0,0.0,20.0,41051010405,410510104054
6969069,47379850,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,53011041205,530110412051
7770567,47345085,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,53011041317,530110413171
9179462,40686585,8.0,39.0,0.0,66.0,31.0,4.0,6.0,34.0,41051005000,410510050001
8891948,40449789,3.0,0.0,0.0,0.0,2.0,0.0,0.0,28.0,41051006100,410510061002
6489656,40522801,9.0,51.0,0.0,75.0,45.0,4.0,7.0,40.0,41051004900,410510049003
9080179,40522806,9.0,47.0,0.0,75.0,36.0,4.0,6.0,40.0,41051004900,410510049003
9637684,40522822,8.0,33.0,0.0,63.0,30.0,4.0,5.0,33.0,41051004900,410510049001
4221952,40467400,0.0,2.0,1.0,14.0,2.0,0.0,0.0,18.0,41051010405,410510104053
9523889,4751633592,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,53011040414,530110404143
6809252,1368361203,8.0,11.0,0.0,64.0,21.0,0.0,2.0,29.0,41051001202,410510012021
